id,p_clause,n_arg,correct
09xDTI8LSEw,0.9937644483730783,2,TRUE
0KqRT45szSM,0.8299150866939995,2,TRUE
0UIrU4dVlJC,0.9889143769959986,2,TRUE
0izgAvabRMe,0.9464072287023689,2,TRUE
0wR1nsJowkw,0.9243150638188671,2,TRUE
0xBuYLZtSQW,0.9575122846473091,2,TRUE
101364B8E1494,0.21140000404549802,2,FALSE
10DB1BDA353B4,0.6075178761359319,2,TRUE
118A2C26C953C,0.9626471829802242,2,TRUE
1200C9CDF5837,0.9952098503755191,2,TRUE
125EEA4A9AA5D,0.9889095344708208,2,TRUE
12BAC0A957315,0.9373410439334119,2,TRUE
13gB3JYkmPX,0.9663325598424236,2,TRUE
1403027725940,0.9969774540262166,2,TRUE
140FEB6FE302E,0.9050614959936597,2,TRUE
1419F9D4862CB,0.3370439841770743,2,FALSE
14FF12FD2E223,0.9218395855988651,2,TRUE
14L6zjJGyn9,0.996251847595005,2,TRUE
169953FEAC382,0.2996330052320012,2,FALSE
16EF029E5A0D6,0.9952114776084298,2,TRUE
16F92592974DE,0.9009851116015558,2,TRUE
1702B926728C4,0.7265756718174189,2,TRUE
172476CA77154,0.9849064085980922,2,TRUE
186EF2382FFD1,0.9889175198815308,2,TRUE
18926FF9C7153,0.9952123139070684,2,TRUE
189D83CC6DBAA,0.9918104973045748,2,TRUE
18DA4F8B42597,0.567087465609186,2,TRUE
18EA4F21CD4D4,0.8702136341971649,2,TRUE
1929F4EE1BD06,0.3173575239797319,2,FALSE
19596CC1829A8,0.9889143769959987,2,TRUE
1A1011E73390D,0.8499155630320802,2,TRUE
1A354C8EC2D09,0.8767692493551459,2,TRUE
1A36913FD6DF4,0.23142326467989843,2,FALSE
1A4D8F524E13E,0.937318943389109,2,TRUE
1A75A7C06FFC8,0.2797980781454746,3,TRUE
1A83261C74B60,0.9662506067603607,2,TRUE
1B9057AA7272E,0.7327808353692028,2,TRUE
1B9A88BD4E4A4,0.9024211174197587,2,TRUE
1C289C4665FEF,0.9889163008130388,2,TRUE
1CB3F43EB9C0A,0.1806174254276595,2,FALSE
1D1FCA66AC663,0.9887573630324066,2,TRUE
1E33C144CFADF,0.16188131240244022,2,FALSE
1E350A151624F,0.27459413600124194,2,FALSE
1EB1087BA83C4,0.9977054744906113,2,TRUE
1F83DEEC83018,0.9008454202092533,2,TRUE
1FEFCCA2A7ED3,0.7482794182571719,2,TRUE
1VeXs57tr3E,0.19576668561963467,3,FALSE
1f8Uz4eSoCS,0.013867260949618852,4,FALSE
1hehEpVeS8P,0.7283828412714708,2,TRUE
1s7K1Aw7TsO,0.8497752663058562,2,TRUE
20A4F989FE225,0.8703174931654343,2,TRUE
212FA10C71F32,0.9451360257942208,2,TRUE
2179C71AB917A,0.8449798432757907,2,TRUE
21F4E97C59722,0.8637528013256797,2,TRUE
2240EAD1791B4,0.9229223626474993,2,TRUE
234312372D59C,0.9234327410677237,2,TRUE
238B8E9A232E1,0.9904994712858332,2,TRUE
23B1DFF9625F9,0.9963171407189233,2,TRUE
24361688584F7,0.998373535064343,2,TRUE
244D407FF6495,0.7381814040051544,2,TRUE
2465AE32A5B4C,0.9889261015241215,2,TRUE
2618661069EEA,0.12941555693565684,2,FALSE
265E855765495,0.9952131500603532,2,TRUE
26A2BF8614625,0.7616325105157842,2,TRUE
26CAF222DD691,0.7969152066476869,2,TRUE
26D84D16131D9,0.0992291247276959,2,FALSE
2707808D68713,0.9986086543092059,2,TRUE
27544122BD608,0.8926439141682599,2,TRUE
276FD251A00C0,0.848418380198775,2,TRUE
28B943398E95D,0.9513736105387518,2,TRUE
292193A83CFBA,0.8990190936025773,2,TRUE
29634AECC2ABE,0.8638231167067113,2,TRUE
297A87D24B43,0.9981346067038102,2,TRUE
2982C509B7D6A,0.48044601529171566,2,FALSE
2A3D5EC92043C,0.8643130719661206,2,TRUE
2A8C74881514B,0.5425700888553772,2,TRUE
2ACBF7D3C9408,0.5992447918870458,2,TRUE
2AEB0F42F8C3B,0.9965628553570244,2,TRUE
2B25804461F3B,0.5663148767741559,2,TRUE
2BFE7AD86D774,0.24912657467028831,2,FALSE
2C53584A8490D,0.9628823912682007,2,TRUE
2CAE95E65FE80,0.7894580690255036,2,TRUE
2CB52C55AFF9A,0.8645162521627378,2,TRUE
2CCFFAD41AD38,0.7686974028532448,2,TRUE
2CE33F2F2597E,0.9952134923570009,2,TRUE
2CFADB0EFAE5D,0.6372650534875516,2,TRUE
2D2A00720DC77,0.17209976431332993,2,FALSE
2D50DD6A8B928,0.7324967203030649,2,TRUE
2EAE7BA27D25,0.9418535731568715,2,TRUE
2EEFCE1CDD13C,0.28844434277983594,2,FALSE
2F0F05BC5CE1A,0.2294743630922142,2,FALSE
