id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom
2DFC78E9D2642,dbyangs skyid,ང ས་ ནི་ རང་ <0> བསྡད་ ཨ་ ཡོད་ བསམས་ བྱུང་ །,4,ང ས་ ནི་,16,18,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,3,TRUE
HMlEkWOBWlW,rang bsdad a yod,ང ས་ ནི་ རང་ <0> བསྡད་ ཨ་ ཡོད་ བསམས་ བྱུང་ །,4,རང་ <0> བསྡད་ ཨ་ ཡོད་,19,23,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,4,TRUE
14515650BC3E0,dbyangs skyid,ང་ ལྦ་ཤིང་ཀྲན་ སྒྲི་སི་ ལ་ ཕྱིན་པ་ ཡིན་,18,ང་,84,84,TRUE,i,TRUE,FALSE,S,TRUE,TRUE,FALSE,1,TRUE
1946773637C50,dbyangs skyid lags kyis 'gro sa,ང་ ལྦ་ཤིང་ཀྲན་ སྒྲི་སི་ ལ་ ཕྱིན་པ་ ཡིན་,18,ལྦ་ཤིང་ཀྲན་ སྒྲི་སི་ ལ་,85,87,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,6,FALSE
28E3644FC8758,bsod nams,ང ར་ དེང་སང་ ལས་ཀ་ སེ་ མེད །,29,ང ར་,127,128,TRUE,i,TRUE,FALSE,COPLOC,TRUE,TRUE,FALSE,2,TRUE
4A3C4876A1B,las ka,ང ར་ དེང་སང་ ལས་ཀ་ སེ་ མེད །,29,ལས་ཀ་ སེ་,130,131,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,3,FALSE
2A8B2D996A805,phru gu gnyis,ཕྲུ་གུ་ གཉིས་ ག་པ ར་ ཕྱིན་ སོང་ །,40,ཕྲུ་གུ་ གཉིས་,174,175,FALSE,i,TRUE,FALSE,S,TRUE,FALSE,FALSE,3,FALSE
11B0E67F367DD,slob grwa (phru gu),ཕྲུ་གུ་ གཉིས་ ག་པ ར་ ཕྱིན་ སོང་ །,40,ག་པ ར་,176,177,FALSE,n,FALSE,TRUE,E,FALSE,FALSE,FALSE,3,TRUE
3629A50FAD2C9,phru gu gnyis,ཁོང་ གཉིས་ གཉིས་ སློབ་གྲྭ ར་ ཕྱིན་ སོང་ །,41,ཁོང་ གཉིས་ གཉིས་,181,183,FALSE,i,TRUE,FALSE,S,TRUE,FALSE,FALSE,3,FALSE
367839A522455,slob grwa (phru gu),ཁོང་ གཉིས་ གཉིས་ སློབ་གྲྭ ར་ ཕྱིན་ སོང་ །,41,སློབ་གྲྭ ར་,184,185,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,3,FALSE
1F9CFC27C67F1,rgyal po,རྒྱལ་པོ་ ལགས་ དཔེ་མཛོད་ ཁང་ ལ་ ཐད་ སོང་,45,རྒྱལ་པོ་ ལགས་,197,198,FALSE,i,TRUE,FALSE,S,TRUE,FALSE,FALSE,3,FALSE
1A19EA6C588BB,dpe mdzod khang,རྒྱལ་པོ་ ལགས་ དཔེ་མཛོད་ ཁང་ ལ་ ཐད་ སོང་,45,དཔེ་མཛོད་ ཁང་ ལ་,199,201,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE
23B429FC27099,mchod gshom,ཕ་གི་ མཆོད་གཤོམ་ མ་ རེད་ པས །,51,ཕ་གི་,216,216,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,TRUE
374AD2E2350DB,mchod gshom,ཕ་གི་ མཆོད་གཤོམ་ མ་ རེད་ པས །,51,མཆོད་གཤོམ་,217,217,TRUE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,2,FALSE
1F944CAA40E2,tshos gzhi,ཚོས་གཞི་ ང་རང་ ཚོ་ བོད་པ ས་ <0> དགའ་ ཡ་ དེ་ རེད །,91,ཚོས་གཞི་,378,378,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,FALSE
1360183BF9494,tshos gzhi,ཚོས་གཞི་ ང་རང་ ཚོ་ བོད་པ ས་ <0> དགའ་ ཡ་ དེ་ རེད །,91,ང་རང་ ཚོ་ བོད་པ ས་ <0> དགའ་ ཡ་ དེ་,379,386,FALSE,i,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,10,FALSE
DD53EF7435AA,dkyis,འདི འི་ དཀྱིལ་ འདི ར་,96,འདི འི་ དཀྱིལ་ འདི ར་,401,405,TRUE,i,TRUE,FALSE,COPLOC,FALSE,FALSE,FALSE,5,FALSE
CA7FAC7D2C9B,sku ('byar),སྐུ་ གཅིག་ འདུག་ ག,97,སྐུ་ གཅིག་,406,407,TRUE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,2,FALSE
3796A660482DE,sku ('byar),འདི་ ཚ་ཚ་ རེད །,100,འདི་,415,415,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,1,TRUE
1EB33015C41C1,sku ('byar),འདི་ ཚ་ཚ་ རེད །,100,ཚ་ཚ་,416,416,TRUE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,2,FALSE
